Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,14:55:28:044776,-0.1250019073777371,Channel B: ,14:55:27:994228,-82.48563363088427
Channel A: ,14:56:02:399216,-81.97000076295109,Channel B: ,14:56:02:450001,-0.1250019073777371
Channel A: ,14:56:03:395536,-82.1575036240177,Channel B: ,14:56:03:445937,-0.1250019073777371
Channel A: ,14:56:04:410707,-82.29031815060655,Channel B: ,14:56:04:359680,-0.1250019073777371
Channel A: ,14:56:05:423311,-82.38406958113985,Channel B: ,14:56:05:374052,-0.1250019073777371
Channel A: ,14:56:06:415531,-82.45438315403983,Channel B: ,14:56:06:366336,-0.1250019073777371
Channel A: ,14:56:07:419910,-82.54032196536203,Channel B: ,14:56:07:369367,-0.1250019073777371
Channel A: ,14:56:08:439188,-82.59501029983979,Channel B: ,14:56:08:388108,-0.1250019073777371
Channel A: ,14:56:09:356128,-82.67313649195087,Channel B: ,14:56:09:407344,-0.1250019073777371
Channel A: ,14:56:10:453958,-82.72782482642863,Channel B: ,14:56:10:402722,-0.1250019073777371
Channel A: ,14:56:11:362235,-82.77470054169528,Channel B: ,14:56:11:411596,-0.1250019073777371
Channel A: ,14:56:12:363811,-82.83720149538415,Channel B: ,14:56:12:414792,-0.1250019073777371
Channel A: ,14:56:13:381356,-82.89188982986191,Channel B: ,14:56:13:432219,-0.1250019073777371
Channel A: ,14:56:14:399871,-82.94657816433967,Channel B: ,14:56:14:450776,-0.1250019073777371
Channel A: ,14:56:15:418511,-82.9778286411841,Channel B: ,14:56:15:367591,-0.1250019073777371
Channel A: ,14:56:16:416114,-83.00907911802854,Channel B: ,14:56:16:365656,-0.1250019073777371
Channel A: ,14:56:17:428040,-83.05595483329519,Channel B: ,14:56:17:377658,-0.1250019073777371
Channel A: ,14:56:18:447344,-83.09501792935073,Channel B: ,14:56:18:396312,-0.1250019073777371
Channel A: ,14:56:19:365509,-83.12626840619517,Channel B: ,14:56:19:416467,-0.1250019073777371
Channel A: ,14:56:20:379454,-83.18095674067293,Channel B: ,14:56:20:428647,-0.1250019073777371
Channel A: ,14:56:21:378700,-83.21220721751736,Channel B: ,14:56:21:429640,-0.1250019073777371
Channel A: ,14:56:22:394819,-0.1250019073777371,Channel B: ,14:56:22:445776,-83.27470817120623
Channel A: ,14:56:23:414116,-0.1250019073777371,Channel B: ,14:56:23:363104,-83.29033340962845
Channel A: ,14:56:24:433065,-0.1250019073777371,Channel B: ,14:56:24:382125,-83.32158388647288
Channel A: ,14:56:25:448389,-0.1250019073777371,Channel B: ,14:56:25:399091,-83.35283436331731
Channel A: ,14:56:26:447436,-0.1250019073777371,Channel B: ,14:56:26:396497,-83.39189745937286
Channel A: ,14:56:27:361581,-0.1250019073777371,Channel B: ,14:56:27:412545,-83.4309605554284
Channel A: ,14:56:28:377994,-0.1250019073777371,Channel B: ,14:56:28:429350,-83.45439841306172
Channel A: ,14:56:29:397313,-0.1250019073777371,Channel B: ,14:56:29:448236,-83.48564888990616
Channel A: ,14:56:30:394660,-0.1250019073777371,Channel B: ,14:56:30:443986,-83.49346150911727
Channel A: ,14:56:31:407023,-0.1250019073777371,Channel B: ,14:56:31:456438,-83.5247119859617
Channel A: ,14:56:32:408101,-83.57940032043946,Channel B: ,14:56:32:457843,-0.1250019073777371
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,14:59:38:011072,-0.1250019073777371,Channel B: ,14:59:38:060444,-84.33722438391699
Channel A: ,14:59:39:097599,-0.1250019073777371,Channel B: ,14:59:39:048185,-84.36066224155032
Channel A: ,14:59:40:086797,-0.1250019073777371,Channel B: ,14:59:40:037179,-84.22003509575036
Channel A: ,14:59:41:078260,-0.1250019073777371,Channel B: ,14:59:41:027544,-84.2590981918059
Channel A: ,14:59:42:070921,-0.1250019073777371,Channel B: ,14:59:42:021648,-84.3528496223392
Channel A: ,14:59:43:084479,-0.1250019073777371,Channel B: ,14:59:43:034434,-84.38410009918364
Channel A: ,14:59:44:099104,-0.1250019073777371,Channel B: ,14:59:44:049678,-84.43097581445029
Channel A: ,14:59:45:100015,-0.1250019073777371,Channel B: ,14:59:45:049027,-84.45441367208362
Channel A: ,14:59:46:106172,-0.1250019073777371,Channel B: ,14:59:46:056788,-84.47785152971694
Channel A: ,14:59:47:015172,-0.1250019073777371,Channel B: ,14:59:47:066136,-84.50128938735027
Channel A: ,14:59:48:031822,-0.1250019073777371,Channel B: ,14:59:48:082769,-84.5247272449836
Channel A: ,14:59:49:050818,-0.1250019073777371,Channel B: ,14:59:49:101653,-84.55597772182803
Channel A: ,14:59:50:069641,-0.1250019073777371,Channel B: ,14:59:50:018678,-84.58722819867246
Channel A: ,14:59:51:088164,-0.1250019073777371,Channel B: ,14:59:51:037223,-84.60285343709468
Channel A: ,14:59:52:106465,-0.1250019073777371,Channel B: ,14:59:52:055558,-84.626291294728
Channel A: ,14:59:53:102947,-0.1250019073777371,Channel B: ,14:59:53:052000,-84.6184786755169
Channel A: ,14:59:54:020741,-0.1250019073777371,Channel B: ,14:59:54:071868,-84.67316700999466
Channel A: ,14:59:55:025512,-0.1250019073777371,Channel B: ,14:59:55:075025,-84.66535439078355
Channel A: ,14:59:56:036875,-0.1250019073777371,Channel B: ,14:59:56:091920,-84.68097962920577
Channel A: ,14:59:57:060290,-0.1250019073777371,Channel B: ,14:59:57:110190,-84.68879224841687
Channel A: ,14:59:58:056594,-0.1250019073777371,Channel B: ,14:59:58:107689,-84.70441748683909
Channel A: ,14:59:59:075816,-0.1250019073777371,Channel B: ,14:59:59:024798,-84.7122301060502
Channel A: ,15:00:00:073900,-0.1250019073777371,Channel B: ,15:00:00:023064,-84.69660486762798
Channel A: ,15:00:01:075760,-0.1250019073777371,Channel B: ,15:00:01:026582,-84.72004272526131
Channel A: ,15:00:02:086229,-0.1250019073777371,Channel B: ,15:00:02:035251,-84.73566796368353
Channel A: ,15:00:03:101990,-0.1250019073777371,Channel B: ,15:00:03:050725,-84.73566796368353
Channel A: ,15:00:04:097812,-0.1250019073777371,Channel B: ,15:00:04:048635,-84.74348058289463
Channel A: ,15:00:05:114294,-0.1250019073777371,Channel B: ,15:00:05:063325,-84.76691844052796
Channel A: ,15:00:06:031864,-0.1250019073777371,Channel B: ,15:00:06:082679,-84.79035629816129
Channel A: ,15:00:07:057490,-0.10937666895551995,Channel B: ,15:00:07:106865,-84.06378271152819
Channel A: ,15:00:08:050260,-0.11718928816662852,Channel B: ,15:00:08:099579,-84.41535057602808
Channel A: ,15:00:09:050382,-0.1250019073777371,Channel B: ,15:00:09:101271,-84.61066605630579
Channel A: ,15:00:10:064648,-0.1250019073777371,Channel B: ,15:00:10:115035,-84.67316700999466
Channel A: ,15:00:11:080288,-0.1250019073777371,Channel B: ,15:00:11:030886,-84.69660486762798
Channel A: ,15:00:12:076300,-0.10937666895551995,Channel B: ,15:00:12:025337,-83.93096818493935
Channel A: ,15:00:13:067899,-0.10937666895551995,Channel B: ,15:00:13:118150,-84.6184786755169
Channel A: ,15:00:14:083516,-0.1250019073777371,Channel B: ,15:00:14:033662,-84.67316700999466
Channel A: ,15:00:15:097954,-0.1250019073777371,Channel B: ,15:00:15:047438,-84.7122301060502
Channel A: ,15:00:16:113144,-0.1250019073777371,Channel B: ,15:00:16:062315,-84.72785534447242
Channel A: ,15:00:17:026923,-0.1250019073777371,Channel B: ,15:00:17:077531,-84.75129320210574
Channel A: ,15:00:18:025224,-0.1250019073777371,Channel B: ,15:00:18:076111,-84.76691844052796
Channel A: ,15:00:19:043223,-0.1250019073777371,Channel B: ,15:00:19:094128,-84.79035629816129
Channel A: ,15:00:20:061204,-0.1250019073777371,Channel B: ,15:00:20:112101,-84.81379415579461
Channel A: ,15:00:21:065558,-0.1250019073777371,Channel B: ,15:00:21:114859,-84.81379415579461
Channel A: ,15:00:22:064452,-0.1250019073777371,Channel B: ,15:00:22:113691,-84.81379415579461
Channel A: ,15:00:23:067439,-0.1250019073777371,Channel B: ,15:00:23:118328,-84.83723201342794
Channel A: ,15:00:24:086093,-0.1250019073777371,Channel B: ,15:00:24:035193,-84.86066987106126
Channel A: ,15:00:25:104265,-0.1250019073777371,Channel B: ,15:00:25:053365,-84.8997329671168
Channel A: ,15:00:26:021162,-0.1250019073777371,Channel B: ,15:00:26:072067,-84.91535820553902
Channel A: ,15:00:27:033825,-0.1250019073777371,Channel B: ,15:00:27:083047,-84.92317082475013
Channel A: ,15:00:28:038870,-0.1250019073777371,Channel B: ,15:00:28:089757,-84.985671778439
Channel A: ,15:00:29:038453,-0.1250019073777371,Channel B: ,15:00:29:089435,-85.00129701686122
Channel A: ,15:00:30:059329,-0.1250019073777371,Channel B: ,15:00:30:110500,-85.01692225528343
Channel A: ,15:00:31:076366,-0.1250019073777371,Channel B: ,15:00:31:024763,-85.06379797055008
Channel A: ,15:00:32:093398,-0.13281452658884565,Channel B: ,15:00:32:042987,-85.0794232089723
Channel A: ,15:00:33:093056,-0.13281452658884565,Channel B: ,15:00:33:043647,-85.09504844739452
Channel A: ,15:00:34:086815,-0.13281452658884565,Channel B: ,15:00:34:036241,-85.13411154345006
Channel A: ,15:00:35:091472,-0.13281452658884565,Channel B: ,15:00:35:041755,-85.14973678187228
Channel A: ,15:00:36:088578,-0.13281452658884565,Channel B: ,15:00:36:039309,-85.18098725871671
Channel A: ,15:00:37:079780,-0.13281452658884565,Channel B: ,15:00:37:030452,-85.18879987792782
Channel A: ,15:00:38:070778,-0.13281452658884565,Channel B: ,15:00:38:121278,-85.22005035477225
Channel A: ,15:00:39:084909,-0.13281452658884565,Channel B: ,15:00:39:034455,-85.2591134508278
Channel A: ,15:00:40:090776,-0.13281452658884565,Channel B: ,15:00:40:041319,-85.24348821240558
Channel A: ,15:00:41:093094,-0.1250019073777371,Channel B: ,15:00:41:042135,-85.2669260700389
Channel A: ,15:00:42:111199,-0.1250019073777371,Channel B: ,15:00:42:061396,-85.28255130846112
Channel A: ,15:00:43:104780,-0.1250019073777371,Channel B: ,15:00:43:055593,-85.30598916609445
Channel A: ,15:00:44:103531,-0.1250019073777371,Channel B: ,15:00:44:054064,-85.33723964293888
Channel A: ,15:00:45:097306,-0.1250019073777371,Channel B: ,15:00:45:047506,-85.33723964293888
Channel A: ,15:00:46:115179,-0.1250019073777371,Channel B: ,15:00:46:064273,-85.36849011978332
Channel A: ,15:00:47:029279,-0.1250019073777371,Channel B: ,15:00:47:080290,-85.38411535820553
Channel A: ,15:00:48:039312,-0.1250019073777371,Channel B: ,15:00:48:088711,-85.40755321583886
Channel A: ,15:00:49:038974,-0.1250019073777371,Channel B: ,15:00:49:090428,-85.41536583504997
Channel A: ,15:00:50:061045,-0.1250019073777371,Channel B: ,15:00:50:111941,-85.41536583504997
Channel A: ,15:00:51:055358,-0.1250019073777371,Channel B: ,15:00:51:106208,-85.43099107347219
Channel A: ,15:00:52:073861,-0.1250019073777371,Channel B: ,15:00:52:124747,-85.4466163118944
Channel A: ,15:00:53:080387,-0.1250019073777371,Channel B: ,15:00:53:129599,-85.4466163118944
Channel A: ,15:00:54:085655,-0.1250019073777371,Channel B: ,15:00:54:034671,-85.47005416952773
Channel A: ,15:00:55:098878,-0.1250019073777371,Channel B: ,15:00:55:048531,-85.48567940794995
Channel A: ,15:00:56:115436,-0.1250019073777371,Channel B: ,15:00:56:064568,-85.49349202716105
Channel A: ,15:00:57:030938,-0.1250019073777371,Channel B: ,15:00:57:081582,-85.48567940794995
Channel A: ,15:00:58:126668,-0.1250019073777371,Channel B: ,15:00:58:075578,-85.48567940794995
Channel A: ,15:00:59:042487,-0.1250019073777371,Channel B: ,15:00:59:093393,-85.50911726558327
Channel A: ,15:01:00:060907,-0.1250019073777371,Channel B: ,15:01:00:111859,-85.49349202716105
Channel A: ,15:01:01:081247,-0.1250019073777371,Channel B: ,15:01:01:131884,-85.50130464637216
Channel A: ,15:01:02:100813,-0.1250019073777371,Channel B: ,15:01:02:049638,-85.49349202716105
Channel A: ,15:01:03:119939,-0.1250019073777371,Channel B: ,15:01:03:068933,-85.51692988479438
Channel A: ,15:01:04:033507,-0.1250019073777371,Channel B: ,15:01:04:084468,-85.50130464637216
Channel A: ,15:01:05:052678,-0.1250019073777371,Channel B: ,15:01:05:103642,-85.50911726558327
Channel A: ,15:01:06:069505,-0.1250019073777371,Channel B: ,15:01:06:120459,-85.50130464637216
Channel A: ,15:01:07:084363,-0.1250019073777371,Channel B: ,15:01:07:134767,-85.49349202716105
Channel A: ,15:01:08:080646,-0.1250019073777371,Channel B: ,15:01:08:131761,-85.46224155031662
Channel A: ,15:01:09:079409,-0.1250019073777371,Channel B: ,15:01:09:128667,-85.46224155031662
Channel A: ,15:01:10:090900,-0.1250019073777371,Channel B: ,15:01:10:039952,-85.47005416952773
Channel A: ,15:01:11:091759,-0.1250019073777371,Channel B: ,15:01:11:042576,-85.4466163118944
Channel A: ,15:01:12:102606,-0.1250019073777371,Channel B: ,15:01:12:051701,-85.47005416952773
Channel A: ,15:01:13:118228,-0.1250019073777371,Channel B: ,15:01:13:067344,-85.46224155031662
Channel A: ,15:01:14:136362,-0.1250019073777371,Channel B: ,15:01:14:085164,-85.47005416952773
Channel A: ,15:01:15:044935,-0.1250019073777371,Channel B: ,15:01:15:095215,-85.4388036926833
Channel A: ,15:01:16:039393,-0.1250019073777371,Channel B: ,15:01:16:090726,-85.4388036926833
Channel A: ,15:01:17:133975,-0.1250019073777371,Channel B: ,15:01:17:084391,-85.4466163118944
Channel A: ,15:01:18:129504,-0.1250019073777371,Channel B: ,15:01:18:080207,-85.42317845426108
Channel A: ,15:01:19:130056,-0.1250019073777371,Channel B: ,15:01:19:080556,-85.43099107347219
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:12:47:033615,-0.11718928816662852,Channel B: ,15:12:46:984219,-83.03251697566186
Channel A: ,15:12:48:026250,-0.11718928816662852,Channel B: ,15:12:47:976752,-82.84501411459526
Channel A: ,15:12:49:015820,-0.11718928816662852,Channel B: ,15:12:48:966304,-82.68094911116198
Channel A: ,15:12:50:006530,-0.11718928816662852,Channel B: ,15:12:49:956949,-82.56375982299535
Channel A: ,15:12:50:996230,-0.11718928816662852,Channel B: ,15:12:50:946225,-82.39969481956207
Channel A: ,15:12:52:014295,-0.11718928816662852,Channel B: ,15:12:51:963372,-82.30594338902877
Channel A: ,15:12:53:032537,-0.11718928816662852,Channel B: ,15:12:52:981610,-82.21219195849547
Channel A: ,15:12:53:947205,-0.11718928816662852,Channel B: ,15:12:53:997050,-82.11062790875106
Channel A: ,15:12:54:965415,-0.11718928816662852,Channel B: ,15:12:55:016562,-82.04031433585108
Channel A: ,15:12:55:981564,-0.11718928816662852,Channel B: ,15:12:56:032518,-81.95437552452887
Channel A: ,15:12:56:999223,-0.11718928816662852,Channel B: ,15:12:56:948261,-81.86062409399557
Channel A: ,15:12:57:994853,-0.11718928816662852,Channel B: ,15:12:57:944559,-81.75906004425116
Channel A: ,15:12:59:012048,-0.11718928816662852,Channel B: ,15:12:58:961158,-81.7121843289845
Channel A: ,15:13:00:029663,-0.11718928816662852,Channel B: ,15:12:59:978757,-81.63405813687342
Channel A: ,15:13:00:945585,-0.11718928816662852,Channel B: ,15:13:00:996457,-81.57936980239566
Channel A: ,15:13:01:938689,-0.11718928816662852,Channel B: ,15:13:01:989603,-81.48561837186236
Channel A: ,15:13:02:956507,-0.11718928816662852,Channel B: ,15:13:03:007369,-81.44655527580682
Channel A: ,15:13:03:973946,-0.11718928816662852,Channel B: ,15:13:04:024821,-81.38405432211795
Channel A: ,15:13:04:991183,-0.11718928816662852,Channel B: ,15:13:04:940346,-81.3371786068513
Channel A: ,15:13:06:014132,-0.11718928816662852,Channel B: ,15:13:05:963237,-81.29030289158464
Channel A: ,15:13:07:031160,-0.11718928816662852,Channel B: ,15:13:06:980193,-81.2512397955291
Channel A: ,15:13:07:948194,-0.11718928816662852,Channel B: ,15:13:07:999130,-81.20436408026245
Channel A: ,15:13:08:965075,-0.11718928816662852,Channel B: ,15:13:09:016022,-81.1574883649958
Channel A: ,15:13:09:967232,-0.11718928816662852,Channel B: ,15:13:10:016486,-81.04811169604028
Channel A: ,15:13:10:979865,-0.11718928816662852,Channel B: ,15:13:11:030824,-81.04029907682917
Channel A: ,15:13:11:977224,-0.11718928816662852,Channel B: ,15:13:12:026437,-80.95436026550698
Channel A: ,15:13:12:967582,-0.11718928816662852,Channel B: ,15:13:13:017884,-80.92310978866254
Channel A: ,15:13:13:984984,-0.11718928816662852,Channel B: ,15:13:14:035878,-80.90748455024033
Channel A: ,15:13:15:003450,-0.11718928816662852,Channel B: ,15:13:14:952605,-80.86842145418478
Channel A: ,15:13:16:022022,-0.11718928816662852,Channel B: ,15:13:15:971098,-80.84498359655146
Channel A: ,15:13:17:041078,-0.11718928816662852,Channel B: ,15:13:16:989909,-80.7902952620737
Channel A: ,15:13:17:958181,-0.11718928816662852,Channel B: ,15:13:18:009148,-80.7981078812848
Channel A: ,15:13:18:976574,-0.11718928816662852,Channel B: ,15:13:19:027438,-80.75123216601816
Channel A: ,15:13:19:994524,-0.11718928816662852,Channel B: ,15:13:20:045412,-80.71216906996261
Channel A: ,15:13:21:012072,-0.11718928816662852,Channel B: ,15:13:20:961224,-80.68873121232929
Channel A: ,15:13:22:030178,-0.11718928816662852,Channel B: ,15:13:21:979265,-80.64966811627374
Channel A: ,15:13:23:037642,-0.11718928816662852,Channel B: ,15:13:22:988433,-80.6027924010071
Channel A: ,15:13:24:037958,-0.1250019073777371,Channel B: ,15:13:23:988683,-80.93092240787365
Channel A: ,15:13:25:038233,-0.13281452658884565,Channel B: ,15:13:24:987317,-81.17311360341802
Channel A: ,15:13:26:049718,-0.13281452658884565,Channel B: ,15:13:26:000477,-81.31374074921797
Channel A: ,15:13:26:952594,-0.13281452658884565,Channel B: ,15:13:27:003046,-81.4309300373846
Channel A: ,15:13:27:967451,-0.13281452658884565,Channel B: ,15:13:28:017242,-81.51686884870679
Channel A: ,15:13:28:960423,-0.13281452658884565,Channel B: ,15:13:29:009706,-81.57155718318455
Channel A: ,15:13:29:957191,-0.13281452658884565,Channel B: ,15:13:30:008122,-81.63405813687342
Channel A: ,15:13:30:962314,-0.13281452658884565,Channel B: ,15:13:31:011578,-81.7043717097734
Channel A: ,15:13:31:962906,-0.13281452658884565,Channel B: ,15:13:32:012266,-81.75124742504005
Channel A: ,15:13:32:964402,-0.13281452658884565,Channel B: ,15:13:33:014843,-81.79031052109559
Channel A: ,15:13:33:981657,-0.13281452658884565,Channel B: ,15:13:34:032962,-81.84499885557335
Channel A: ,15:13:34:977077,-0.13281452658884565,Channel B: ,15:13:35:028024,-81.87624933241779
Channel A: ,15:13:35:996504,-0.13281452658884565,Channel B: ,15:13:36:047454,-81.90749980926222
Channel A: ,15:13:37:013692,-0.13281452658884565,Channel B: ,15:13:36:962700,-81.93875028610665
Channel A: ,15:13:38:035324,-0.13281452658884565,Channel B: ,15:13:37:984316,-81.97000076295109
Channel A: ,15:13:38:954961,-0.13281452658884565,Channel B: ,15:13:39:005940,-81.9778133821622
Channel A: ,15:13:39:977324,-0.13281452658884565,Channel B: ,15:13:40:028296,-82.00125123979552
Channel A: ,15:13:40:996144,-0.13281452658884565,Channel B: ,15:13:41:046718,-82.04031433585108
Channel A: ,15:13:42:013596,-0.13281452658884565,Channel B: ,15:13:41:961954,-82.0559395742733
Channel A: ,15:13:43:009444,-0.13281452658884565,Channel B: ,15:13:42:958446,-82.0559395742733
Channel A: ,15:13:44:027905,-0.13281452658884565,Channel B: ,15:13:43:976934,-82.08719005111773
Channel A: ,15:13:45:049600,-0.13281452658884565,Channel B: ,15:13:44:998587,-82.10281528953995
Channel A: ,15:13:45:964793,-0.13281452658884565,Channel B: ,15:13:46:015784,-82.10281528953995
Channel A: ,15:13:46:975940,-0.13281452658884565,Channel B: ,15:13:47:027166,-82.11844052796216
Channel A: ,15:13:47:981074,-82.11844052796216,Channel B: ,15:13:48:032245,-0.13281452658884565
Channel A: ,15:13:48:977143,-82.14187838559549,Channel B: ,15:13:49:026359,-0.13281452658884565
Channel A: ,15:13:49:975739,-0.13281452658884565,Channel B: ,15:13:50:026472,-82.17312886243992
Channel A: ,15:13:50:992921,-0.13281452658884565,Channel B: ,15:13:51:043738,-82.17312886243992
Channel A: ,15:13:52:016318,-82.1575036240177,Channel B: ,15:13:51:965146,-0.13281452658884565
Channel A: ,15:13:53:012517,-82.18094148165103,Channel B: ,15:13:52:961538,-0.13281452658884565
Channel A: ,15:13:54:031845,-82.19656672007325,Channel B: ,15:13:53:980976,-0.13281452658884565
Channel A: ,15:13:55:050467,-82.20437933928436,Channel B: ,15:13:54:999489,-0.13281452658884565
Channel A: ,15:13:55:967096,-82.21219195849547,Channel B: ,15:13:56:017970,-0.13281452658884565
Channel A: ,15:13:56:984745,-82.22000457770658,Channel B: ,15:13:57:035623,-0.13281452658884565
Channel A: ,15:13:57:981297,-82.22000457770658,Channel B: ,15:13:58:031688,-0.13281452658884565
Channel A: ,15:13:58:996507,-82.22781719691768,Channel B: ,15:13:59:047370,-0.13281452658884565
Channel A: ,15:14:00:006193,-82.22000457770658,Channel B: ,15:14:00:055705,-0.13281452658884565
Channel A: ,15:14:00:998755,-82.23562981612879,Channel B: ,15:14:01:048037,-0.13281452658884565
Channel A: ,15:14:01:990324,-0.13281452658884565,Channel B: ,15:14:02:039531,-82.25906767376212
Channel A: ,15:14:03:003649,-0.13281452658884565,Channel B: ,15:14:03:054514,-82.26688029297323
Channel A: ,15:14:04:022013,-0.13281452658884565,Channel B: ,15:14:03:971144,-82.28250553139544
Channel A: ,15:14:05:039652,-0.13281452658884565,Channel B: ,15:14:04:988735,-82.29031815060655
Channel A: ,15:14:06:057095,-0.13281452658884565,Channel B: ,15:14:06:006237,-82.29813076981766
Channel A: ,15:14:06:973473,-0.13281452658884565,Channel B: ,15:14:07:024396,-82.31375600823988
Channel A: ,15:14:07:967463,-0.13281452658884565,Channel B: ,15:14:08:018354,-82.31375600823988
Channel A: ,15:14:08:988967,-0.13281452658884565,Channel B: ,15:14:09:039984,-82.3371938658732
Channel A: ,15:14:09:993011,-0.13281452658884565,Channel B: ,15:14:10:042722,-82.3371938658732
Channel A: ,15:14:11:003822,-0.13281452658884565,Channel B: ,15:14:11:054736,-82.35281910429542
Channel A: ,15:14:12:022472,-0.13281452658884565,Channel B: ,15:14:11:971001,-82.36063172350653
Channel A: ,15:14:13:018353,-0.13281452658884565,Channel B: ,15:14:12:967115,-82.36063172350653
Channel A: ,15:14:14:026160,-82.35281910429542,Channel B: ,15:14:13:976966,-0.13281452658884565
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:31:37:908787,-0.10937666895551995,Channel B: ,15:31:37:859439,-79.55590142671855
Channel A: ,15:31:38:895996,-0.10937666895551995,Channel B: ,15:31:38:846499,-79.45433737697414
Channel A: ,15:31:39:884892,-0.10937666895551995,Channel B: ,15:31:39:835517,-79.35277332722973
Channel A: ,15:31:40:874529,-0.10937666895551995,Channel B: ,15:31:40:824712,-79.27464713511864
Channel A: ,15:31:41:864327,-0.10937666895551995,Channel B: ,15:31:41:914076,-79.10276951247425
Channel A: ,15:31:42:870349,-0.10937666895551995,Channel B: ,15:31:42:819119,-79.0480811779965
Channel A: ,15:31:43:886189,-0.10937666895551995,Channel B: ,15:31:43:836376,-79.00901808194095
Channel A: ,15:31:44:884862,-0.10937666895551995,Channel B: ,15:31:44:833305,-78.93089188982987
Channel A: ,15:31:45:886253,-0.10937666895551995,Channel B: ,15:31:45:836932,-78.89964141298543
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:31:55:007389,-80.01684596017395,Channel B: ,15:31:54:958010,-0.1250019073777371
Channel A: ,15:31:55:994485,-80.02465857938506,Channel B: ,15:31:55:945025,-0.1250019073777371
Channel A: ,15:31:56:983053,-80.04809643701839,Channel B: ,15:31:56:933698,-0.1250019073777371
Channel A: ,15:31:57:974422,-80.08715953307393,Channel B: ,15:31:57:924681,-0.1250019073777371
Channel A: ,15:31:58:966391,-80.10278477149615,Channel B: ,15:31:58:916088,-0.1250019073777371
Channel A: ,15:31:59:985634,-80.14184786755169,Channel B: ,15:31:59:934712,-0.1250019073777371
Channel A: ,15:32:00:987857,-80.1574731059739,Channel B: ,15:32:00:938602,-0.1250019073777371
